category;date;percent;downloads
with_mirrors;2020-05-01;0.54%;41
without_mirrors;2020-05-01;0.28%;21
without_mirrors;2020-05-02;0.60%;46
without_mirrors;2020-05-02;0.61%;46
with_mirrors;2020-05-02;2.57%;196
with_mirrors;2020-05-02;2.59%;196
without_mirrors;2020-05-03;0.12%;9
with_mirrors;2020-05-03;1.56%;118
with_mirrors;2020-05-03;1.55%;118
with_mirrors;2020-05-04;0.85%;65
with_mirrors;2020-05-04;0.86%;65
without_mirrors;2020-05-04;0.17%;13
without_mirrors;2020-05-05;0.13%;10
with_mirrors;2020-05-05;0.41%;31
without_mirrors;2020-05-06;0.03%;2
with_mirrors;2020-05-06;0.29%;22
with_mirrors;2020-05-07;0.55%;42
without_mirrors;2020-05-07;0.13%;10
without_mirrors;2020-05-08;0.42%;32
with_mirrors;2020-05-08;0.71%;54
without_mirrors;2020-05-09;0.32%;24
with_mirrors;2020-05-09;0.67%;51
without_mirrors;2020-05-09;0.31%;24
without_mirrors;2020-05-10;0.28%;21
with_mirrors;2020-05-10;0.54%;41
with_mirrors;2020-05-11;0.53%;40
with_mirrors;2020-05-11;0.52%;40
without_mirrors;2020-05-11;0.12%;9
with_mirrors;2020-05-12;0.64%;49
with_mirrors;2020-05-12;0.65%;49
without_mirrors;2020-05-12;0.09%;7
with_mirrors;2020-05-13;1.04%;79
without_mirrors;2020-05-13;0.17%;13
with_mirrors;2020-05-14;0.55%;42
without_mirrors;2020-05-14;0.08%;6
without_mirrors;2020-05-15;0.28%;21
with_mirrors;2020-05-15;0.49%;37
without_mirrors;2020-05-16;0.01%;1
with_mirrors;2020-05-16;1.06%;80
with_mirrors;2020-05-16;1.05%;80
with_mirrors;2020-05-17;0.16%;12
with_mirrors;2020-05-18;0.41%;31
with_mirrors;2020-05-19;0.44%;33
with_mirrors;2020-05-19;0.43%;33
without_mirrors;2020-05-19;0.05%;4
without_mirrors;2020-05-20;0.03%;2
with_mirrors;2020-05-20;0.29%;22
with_mirrors;2020-05-21;0.41%;31
without_mirrors;2020-05-21;0.01%;1
with_mirrors;2020-05-22;0.34%;26
with_mirrors;2020-05-23;0.17%;13
without_mirrors;2020-05-23;0.01%;1
with_mirrors;2020-05-24;0.85%;64
without_mirrors;2020-05-24;0.03%;2
with_mirrors;2020-05-24;0.84%;64
with_mirrors;2020-05-25;0.35%;27
with_mirrors;2020-05-25;0.36%;27
without_mirrors;2020-05-25;0.12%;9
with_mirrors;2020-05-26;0.45%;34
without_mirrors;2020-05-26;0.08%;6
with_mirrors;2020-05-27;0.43%;33
without_mirrors;2020-05-27;0.04%;3
with_mirrors;2020-05-27;0.44%;33
without_mirrors;2020-05-28;0.04%;3
with_mirrors;2020-05-28;0.22%;17
with_mirrors;2020-05-29;0.37%;28
without_mirrors;2020-05-29;0.03%;2
with_mirrors;2020-05-30;0.31%;24
with_mirrors;2020-05-30;0.32%;24
without_mirrors;2020-05-31;0.17%;13
with_mirrors;2020-05-31;0.35%;27
with_mirrors;2020-05-31;0.36%;27
without_mirrors;2020-06-01;0.03%;2
with_mirrors;2020-06-01;0.03%;2
with_mirrors;2020-06-02;0.16%;12
with_mirrors;2020-06-03;0.52%;40
without_mirrors;2020-06-03;0.03%;2
with_mirrors;2020-06-03;0.53%;40
with_mirrors;2020-06-04;0.98%;75
with_mirrors;2020-06-04;0.99%;75
without_mirrors;2020-06-04;0.01%;1
with_mirrors;2020-06-05;0.85%;64
without_mirrors;2020-06-05;0.03%;2
with_mirrors;2020-06-05;0.84%;64
with_mirrors;2020-06-06;0.90%;69
with_mirrors;2020-06-06;0.91%;69
with_mirrors;2020-06-07;0.33%;25
with_mirrors;2020-06-08;0.32%;24
with_mirrors;2020-06-08;0.31%;24
without_mirrors;2020-06-09;0.07%;5
with_mirrors;2020-06-09;0.65%;49
with_mirrors;2020-06-09;0.64%;49
with_mirrors;2020-06-10;0.36%;27
without_mirrors;2020-06-10;0.04%;3
with_mirrors;2020-06-10;0.35%;27
without_mirrors;2020-06-11;0.03%;2
with_mirrors;2020-06-11;0.34%;26
without_mirrors;2020-06-12;0.04%;3
with_mirrors;2020-06-12;0.20%;15
without_mirrors;2020-06-13;0.03%;2
with_mirrors;2020-06-13;0.18%;14
with_mirrors;2020-06-14;0.18%;14
without_mirrors;2020-06-15;0.03%;2
with_mirrors;2020-06-15;0.05%;4
without_mirrors;2020-06-16;0.13%;10
with_mirrors;2020-06-16;0.29%;22
with_mirrors;2020-06-17;0.63%;48
without_mirrors;2020-06-17;0.01%;1
with_mirrors;2020-06-18;0.16%;12
with_mirrors;2020-06-19;0.33%;25
without_mirrors;2020-06-19;0.01%;1
without_mirrors;2020-06-20;0.01%;1
with_mirrors;2020-06-20;0.17%;13
with_mirrors;2020-06-21;0.25%;19
without_mirrors;2020-06-21;0.01%;1
without_mirrors;2020-06-22;0.70%;53
with_mirrors;2020-06-22;3.07%;234
with_mirrors;2020-06-22;3.09%;234
with_mirrors;2020-06-23;3.12%;236
without_mirrors;2020-06-23;0.31%;24
without_mirrors;2020-06-23;0.32%;24
with_mirrors;2020-06-23;3.10%;236
with_mirrors;2020-06-24;3.94%;298
with_mirrors;2020-06-24;3.93%;298
with_mirrors;2020-06-24;3.91%;298
without_mirrors;2020-06-24;0.45%;34
without_mirrors;2020-06-25;0.09%;7
with_mirrors;2020-06-25;2.22%;169
with_mirrors;2020-06-25;2.23%;169
without_mirrors;2020-06-26;0.32%;24
with_mirrors;2020-06-26;2.05%;156
with_mirrors;2020-06-26;2.06%;156
without_mirrors;2020-06-26;0.31%;24
without_mirrors;2020-06-27;0.16%;12
with_mirrors;2020-06-27;2.64%;201
with_mirrors;2020-06-27;2.66%;201
with_mirrors;2020-06-27;2.65%;201
with_mirrors;2020-06-28;2.19%;166
with_mirrors;2020-06-28;2.18%;166
without_mirrors;2020-06-28;0.03%;2
without_mirrors;2020-06-29;0.04%;3
with_mirrors;2020-06-29;1.43%;108
with_mirrors;2020-06-29;1.42%;108
without_mirrors;2020-06-30;0.08%;6
with_mirrors;2020-06-30;0.40%;30
with_mirrors;2020-06-30;0.39%;30
without_mirrors;2020-07-01;0.01%;1
with_mirrors;2020-07-01;0.42%;32
with_mirrors;2020-07-02;0.64%;49
without_mirrors;2020-07-02;0.03%;2
with_mirrors;2020-07-02;0.65%;49
with_mirrors;2020-07-03;0.73%;56
with_mirrors;2020-07-03;0.74%;56
without_mirrors;2020-07-03;0.03%;2
with_mirrors;2020-07-04;0.62%;47
without_mirrors;2020-07-04;0.01%;1
with_mirrors;2020-07-05;0.41%;31
without_mirrors;2020-07-05;0.01%;1
with_mirrors;2020-07-06;0.07%;5
without_mirrors;2020-07-06;0.07%;5
with_mirrors;2020-07-07;0.59%;45
without_mirrors;2020-07-07;0.01%;1
without_mirrors;2020-07-08;0.01%;1
with_mirrors;2020-07-08;1.10%;83
with_mirrors;2020-07-08;1.09%;83
with_mirrors;2020-07-09;0.46%;35
without_mirrors;2020-07-09;0.07%;5
without_mirrors;2020-07-10;0.07%;5
with_mirrors;2020-07-10;0.41%;31
with_mirrors;2020-07-11;0.60%;46
with_mirrors;2020-07-11;0.61%;46
without_mirrors;2020-07-12;0.04%;3
with_mirrors;2020-07-12;0.57%;43
with_mirrors;2020-07-12;0.56%;43
with_mirrors;2020-07-13;0.54%;41
without_mirrors;2020-07-13;0.09%;7
without_mirrors;2020-07-14;0.14%;11
with_mirrors;2020-07-14;0.69%;52
with_mirrors;2020-07-14;0.68%;52
without_mirrors;2020-07-14;0.15%;11
without_mirrors;2020-07-15;0.05%;4
with_mirrors;2020-07-15;1.16%;88
with_mirrors;2020-07-15;1.15%;88
with_mirrors;2020-07-16;0.42%;32
without_mirrors;2020-07-16;0.05%;4
with_mirrors;2020-07-17;0.63%;48
without_mirrors;2020-07-17;0.04%;3
without_mirrors;2020-07-18;0.11%;8
with_mirrors;2020-07-18;0.84%;64
with_mirrors;2020-07-18;0.85%;64
without_mirrors;2020-07-18;0.10%;8
with_mirrors;2020-07-19;0.37%;28
with_mirrors;2020-07-20;0.64%;49
with_mirrors;2020-07-20;0.65%;49
