category;date;downloads
with_mirrors;2020-08-30;116
without_mirrors;2020-08-30;21
with_mirrors;2020-08-31;91
without_mirrors;2020-08-31;17
without_mirrors;2020-09-01;4
with_mirrors;2020-09-01;32
with_mirrors;2020-09-02;18
without_mirrors;2020-09-02;7
with_mirrors;2020-09-03;6
without_mirrors;2020-09-03;2
with_mirrors;2020-09-04;102
without_mirrors;2020-09-04;20
with_mirrors;2020-09-05;392
without_mirrors;2020-09-05;59
with_mirrors;2020-09-06;148
without_mirrors;2020-09-06;13
without_mirrors;2020-09-07;22
with_mirrors;2020-09-07;82
with_mirrors;2020-09-08;25
without_mirrors;2020-09-08;2
without_mirrors;2020-09-09;3
with_mirrors;2020-09-09;13
without_mirrors;2020-09-10;1
with_mirrors;2020-09-10;8
with_mirrors;2020-09-11;48
without_mirrors;2020-09-11;12
with_mirrors;2020-09-12;45
without_mirrors;2020-09-12;7
with_mirrors;2020-09-13;24
without_mirrors;2020-09-14;4
with_mirrors;2020-09-14;26
with_mirrors;2020-09-15;19
without_mirrors;2020-09-15;1
with_mirrors;2020-09-16;22
without_mirrors;2020-09-16;1
without_mirrors;2020-09-17;3
with_mirrors;2020-09-17;11
with_mirrors;2020-09-18;18
without_mirrors;2020-09-18;2
without_mirrors;2020-09-19;2
with_mirrors;2020-09-19;14
with_mirrors;2020-09-20;16
with_mirrors;2020-09-21;11
without_mirrors;2020-09-21;3
with_mirrors;2020-09-22;7
with_mirrors;2020-09-23;19
with_mirrors;2020-09-24;2
without_mirrors;2020-09-24;2
