category;date;downloads
without_mirrors;2020-05-01;26
with_mirrors;2020-05-01;74
with_mirrors;2020-05-02;6
with_mirrors;2020-05-03;43
without_mirrors;2020-05-03;7
with_mirrors;2020-05-04;51
without_mirrors;2020-05-04;31
with_mirrors;2020-05-05;44
without_mirrors;2020-05-05;20
with_mirrors;2020-05-06;33
without_mirrors;2020-05-06;9
with_mirrors;2020-05-07;83
without_mirrors;2020-05-07;12
without_mirrors;2020-05-08;17
with_mirrors;2020-05-08;62
without_mirrors;2020-05-09;13
with_mirrors;2020-05-09;19
with_mirrors;2020-05-10;17
without_mirrors;2020-05-10;11
without_mirrors;2020-05-11;34
with_mirrors;2020-05-11;58
with_mirrors;2020-05-12;85
without_mirrors;2020-05-12;18
without_mirrors;2020-05-13;20
with_mirrors;2020-05-13;87
without_mirrors;2020-05-14;30
with_mirrors;2020-05-14;50
with_mirrors;2020-05-15;68
without_mirrors;2020-05-15;12
without_mirrors;2020-05-16;4
with_mirrors;2020-05-16;82
without_mirrors;2020-05-17;3
with_mirrors;2020-05-17;63
without_mirrors;2020-05-18;14
with_mirrors;2020-05-18;17
without_mirrors;2020-05-19;14
with_mirrors;2020-05-19;58
without_mirrors;2020-05-20;11
with_mirrors;2020-05-20;72
with_mirrors;2020-05-21;74
without_mirrors;2020-05-21;8
without_mirrors;2020-05-22;23
with_mirrors;2020-05-22;79
with_mirrors;2020-05-23;42
without_mirrors;2020-05-23;5
with_mirrors;2020-05-24;203
without_mirrors;2020-05-24;69
with_mirrors;2020-05-25;302
without_mirrors;2020-05-25;30
without_mirrors;2020-05-26;95
with_mirrors;2020-05-26;375
with_mirrors;2020-05-27;361
without_mirrors;2020-05-27;32
with_mirrors;2020-05-28;167
without_mirrors;2020-05-28;75
without_mirrors;2020-05-29;55
with_mirrors;2020-05-29;274
without_mirrors;2020-05-30;44
with_mirrors;2020-05-30;197
with_mirrors;2020-05-31;66
without_mirrors;2020-05-31;6
with_mirrors;2020-06-01;53
without_mirrors;2020-06-01;9
with_mirrors;2020-06-02;136
without_mirrors;2020-06-02;44
with_mirrors;2020-06-03;62
without_mirrors;2020-06-03;8
without_mirrors;2020-06-04;13
with_mirrors;2020-06-04;205
with_mirrors;2020-06-05;200
without_mirrors;2020-06-05;12
without_mirrors;2020-06-06;4
with_mirrors;2020-06-06;104
without_mirrors;2020-06-07;9
with_mirrors;2020-06-07;92
without_mirrors;2020-06-08;15
with_mirrors;2020-06-08;100
with_mirrors;2020-06-09;102
without_mirrors;2020-06-09;21
with_mirrors;2020-06-10;92
without_mirrors;2020-06-10;18
without_mirrors;2020-06-11;18
with_mirrors;2020-06-11;82
with_mirrors;2020-06-12;67
without_mirrors;2020-06-12;14
without_mirrors;2020-06-13;4
with_mirrors;2020-06-13;90
without_mirrors;2020-06-14;2
with_mirrors;2020-06-14;4
without_mirrors;2020-06-15;11
with_mirrors;2020-06-15;73
without_mirrors;2020-06-16;40
with_mirrors;2020-06-16;124
with_mirrors;2020-06-17;121
without_mirrors;2020-06-17;16
with_mirrors;2020-06-18;26
without_mirrors;2020-06-18;7
without_mirrors;2020-06-19;12
with_mirrors;2020-06-19;146
without_mirrors;2020-06-20;7
with_mirrors;2020-06-20;59
without_mirrors;2020-06-21;3
with_mirrors;2020-06-21;35
without_mirrors;2020-06-22;12
with_mirrors;2020-06-22;39
with_mirrors;2020-06-23;117
without_mirrors;2020-06-23;14
without_mirrors;2020-06-24;7
with_mirrors;2020-06-24;105
without_mirrors;2020-06-25;22
with_mirrors;2020-06-25;90
with_mirrors;2020-06-26;69
without_mirrors;2020-06-26;9
without_mirrors;2020-06-27;4
with_mirrors;2020-06-27;76
with_mirrors;2020-06-28;40
without_mirrors;2020-06-28;6
with_mirrors;2020-06-29;49
without_mirrors;2020-06-29;11
without_mirrors;2020-06-30;23
with_mirrors;2020-06-30;81
with_mirrors;2020-07-01;14
without_mirrors;2020-07-01;13
with_mirrors;2020-07-02;41
without_mirrors;2020-07-02;6
without_mirrors;2020-07-03;6
with_mirrors;2020-07-03;40
with_mirrors;2020-07-04;28
without_mirrors;2020-07-04;2
without_mirrors;2020-07-05;3
with_mirrors;2020-07-05;55
with_mirrors;2020-07-06;44
without_mirrors;2020-07-06;2
without_mirrors;2020-07-07;9
with_mirrors;2020-07-07;43
without_mirrors;2020-07-08;4
with_mirrors;2020-07-08;113
without_mirrors;2020-07-09;3
with_mirrors;2020-07-09;55
with_mirrors;2020-07-10;71
without_mirrors;2020-07-10;7
with_mirrors;2020-07-11;52
without_mirrors;2020-07-12;3
with_mirrors;2020-07-12;3
with_mirrors;2020-07-13;47
without_mirrors;2020-07-13;12
with_mirrors;2020-07-14;64
without_mirrors;2020-07-14;14
with_mirrors;2020-07-15;119
without_mirrors;2020-07-15;17
with_mirrors;2020-07-16;39
without_mirrors;2020-07-16;8
without_mirrors;2020-07-17;37
with_mirrors;2020-07-17;90
with_mirrors;2020-07-18;22
without_mirrors;2020-07-18;2
without_mirrors;2020-07-19;5
with_mirrors;2020-07-19;79
without_mirrors;2020-07-20;98
with_mirrors;2020-07-20;117
without_mirrors;2020-07-21;68
with_mirrors;2020-07-21;105
with_mirrors;2020-07-22;187
without_mirrors;2020-07-22;89
without_mirrors;2020-07-23;56
with_mirrors;2020-07-23;109
without_mirrors;2020-07-24;110
with_mirrors;2020-07-24;146
with_mirrors;2020-07-25;82
without_mirrors;2020-07-25;23
without_mirrors;2020-07-26;67
with_mirrors;2020-07-26;67
with_mirrors;2020-07-27;154
without_mirrors;2020-07-27;119
with_mirrors;2020-07-28;146
without_mirrors;2020-07-28;58
without_mirrors;2020-07-29;35
with_mirrors;2020-07-29;56
with_mirrors;2020-07-30;112
without_mirrors;2020-07-30;43
