category;date;downloads
with_mirrors;2020-05-01;22
without_mirrors;2020-05-01;16
without_mirrors;2020-05-02;19
with_mirrors;2020-05-02;23
without_mirrors;2020-05-03;17
with_mirrors;2020-05-03;25
with_mirrors;2020-05-04;9
without_mirrors;2020-05-04;5
without_mirrors;2020-05-05;8
with_mirrors;2020-05-05;12
with_mirrors;2020-05-06;17
without_mirrors;2020-05-06;8
with_mirrors;2020-05-07;20
without_mirrors;2020-05-07;12
with_mirrors;2020-05-08;14
without_mirrors;2020-05-08;8
without_mirrors;2020-05-09;13
with_mirrors;2020-05-09;19
with_mirrors;2020-05-10;14
without_mirrors;2020-05-10;6
without_mirrors;2020-05-11;8
with_mirrors;2020-05-11;17
without_mirrors;2020-05-12;11
with_mirrors;2020-05-12;23
without_mirrors;2020-05-13;15
with_mirrors;2020-05-13;35
without_mirrors;2020-05-14;12
with_mirrors;2020-05-14;22
without_mirrors;2020-05-15;18
with_mirrors;2020-05-15;20
without_mirrors;2020-05-16;11
with_mirrors;2020-05-16;36
with_mirrors;2020-05-17;11
without_mirrors;2020-05-17;7
with_mirrors;2020-05-18;15
without_mirrors;2020-05-18;12
without_mirrors;2020-05-19;13
with_mirrors;2020-05-19;30
without_mirrors;2020-05-20;17
with_mirrors;2020-05-20;25
with_mirrors;2020-05-21;31
without_mirrors;2020-05-21;27
without_mirrors;2020-05-22;5
with_mirrors;2020-05-22;15
with_mirrors;2020-05-23;15
without_mirrors;2020-05-23;11
without_mirrors;2020-05-24;14
with_mirrors;2020-05-24;38
with_mirrors;2020-05-25;38
without_mirrors;2020-05-25;31
with_mirrors;2020-05-26;24
without_mirrors;2020-05-26;20
with_mirrors;2020-05-27;29
without_mirrors;2020-05-27;25
without_mirrors;2020-05-28;12
with_mirrors;2020-05-28;29
with_mirrors;2020-05-29;23
without_mirrors;2020-05-29;13
with_mirrors;2020-05-30;10
without_mirrors;2020-05-30;6
without_mirrors;2020-05-31;13
with_mirrors;2020-05-31;29
with_mirrors;2020-06-01;15
without_mirrors;2020-06-01;15
with_mirrors;2020-06-02;15
without_mirrors;2020-06-02;11
without_mirrors;2020-06-03;9
with_mirrors;2020-06-03;23
with_mirrors;2020-06-04;34
without_mirrors;2020-06-04;16
with_mirrors;2020-06-05;31
without_mirrors;2020-06-05;13
with_mirrors;2020-06-06;21
without_mirrors;2020-06-06;7
with_mirrors;2020-06-07;20
