category;date;downloads
without_mirrors;2020-09-26;60
with_mirrors;2020-09-26;381
without_mirrors;2020-09-27;23
with_mirrors;2020-09-27;231
with_mirrors;2020-09-28;113
without_mirrors;2020-09-28;29
with_mirrors;2020-09-29;41
without_mirrors;2020-09-29;6
with_mirrors;2020-09-30;123
without_mirrors;2020-09-30;31
without_mirrors;2020-10-01;18
with_mirrors;2020-10-01;97
without_mirrors;2020-10-02;33
with_mirrors;2020-10-02;140
with_mirrors;2020-10-03;81
without_mirrors;2020-10-03;21
without_mirrors;2020-10-04;11
with_mirrors;2020-10-04;39
without_mirrors;2020-10-05;17
with_mirrors;2020-10-05;43
without_mirrors;2020-10-06;4
with_mirrors;2020-10-06;9
without_mirrors;2020-10-07;3
with_mirrors;2020-10-07;22
without_mirrors;2020-10-08;5
with_mirrors;2020-10-08;31
with_mirrors;2020-10-09;28
without_mirrors;2020-10-09;11
with_mirrors;2020-10-10;32
without_mirrors;2020-10-10;6
without_mirrors;2020-10-11;5
with_mirrors;2020-10-11;9
without_mirrors;2020-10-12;10
with_mirrors;2020-10-12;49
without_mirrors;2020-10-13;9
with_mirrors;2020-10-13;29
with_mirrors;2020-10-14;44
without_mirrors;2020-10-14;6
with_mirrors;2020-10-15;26
without_mirrors;2020-10-16;8
with_mirrors;2020-10-16;32
with_mirrors;2020-10-17;59
without_mirrors;2020-10-17;12
with_mirrors;2020-10-18;25
without_mirrors;2020-10-18;3
without_mirrors;2020-10-19;3
with_mirrors;2020-10-19;14
without_mirrors;2020-10-20;3
with_mirrors;2020-10-20;13
without_mirrors;2020-10-21;8
with_mirrors;2020-10-21;31
with_mirrors;2020-10-22;12
without_mirrors;2020-10-22;12
without_mirrors;2020-10-23;11
with_mirrors;2020-10-23;19
with_mirrors;2020-10-24;42
without_mirrors;2020-10-24;6
with_mirrors;2020-10-25;35
without_mirrors;2020-10-25;5
with_mirrors;2020-10-26;13
without_mirrors;2020-10-26;13
with_mirrors;2020-10-27;4
without_mirrors;2020-10-27;4
with_mirrors;2020-10-28;46
without_mirrors;2020-10-28;8
without_mirrors;2020-10-29;4
with_mirrors;2020-10-29;33
with_mirrors;2020-10-30;30
without_mirrors;2020-10-30;2
without_mirrors;2020-10-31;5
with_mirrors;2020-10-31;25
without_mirrors;2020-11-01;4
with_mirrors;2020-11-01;4
without_mirrors;2020-11-02;4
with_mirrors;2020-11-02;18
with_mirrors;2020-11-03;40
without_mirrors;2020-11-03;8
without_mirrors;2020-11-04;6
with_mirrors;2020-11-04;9
with_mirrors;2020-11-05;4
without_mirrors;2020-11-05;2
with_mirrors;2020-11-06;16
without_mirrors;2020-11-06;4
without_mirrors;2020-11-07;7
with_mirrors;2020-11-07;42
without_mirrors;2020-11-08;2
with_mirrors;2020-11-08;18
without_mirrors;2020-11-09;4
with_mirrors;2020-11-09;24
with_mirrors;2020-11-10;32
without_mirrors;2020-11-10;5
with_mirrors;2020-11-11;28
without_mirrors;2020-11-11;9
with_mirrors;2020-11-12;18
without_mirrors;2020-11-12;6
with_mirrors;2020-11-13;56
without_mirrors;2020-11-13;3
without_mirrors;2020-11-14;4
with_mirrors;2020-11-14;14
without_mirrors;2020-11-15;2
with_mirrors;2020-11-15;22
without_mirrors;2020-11-16;1
with_mirrors;2020-11-16;10
