category;date;downloads
with_mirrors;2020-05-01;142
without_mirrors;2020-05-01;17
with_mirrors;2020-05-02;130
without_mirrors;2020-05-02;14
with_mirrors;2020-05-03;45
without_mirrors;2020-05-03;16
with_mirrors;2020-05-04;28
without_mirrors;2020-05-04;12
without_mirrors;2020-05-05;2
with_mirrors;2020-05-05;9
without_mirrors;2020-05-06;2
with_mirrors;2020-05-06;11
without_mirrors;2020-05-07;2
with_mirrors;2020-05-07;10
with_mirrors;2020-05-08;14
without_mirrors;2020-05-08;9
without_mirrors;2020-05-09;6
with_mirrors;2020-05-09;8
without_mirrors;2020-05-10;8
with_mirrors;2020-05-10;14
without_mirrors;2020-05-11;3
with_mirrors;2020-05-11;10
with_mirrors;2020-05-12;8
without_mirrors;2020-05-12;6
with_mirrors;2020-05-13;19
without_mirrors;2020-05-13;3
with_mirrors;2020-05-14;18
without_mirrors;2020-05-14;6
without_mirrors;2020-05-15;6
with_mirrors;2020-05-15;10
with_mirrors;2020-05-16;11
without_mirrors;2020-05-16;4
with_mirrors;2020-05-17;14
with_mirrors;2020-05-18;10
without_mirrors;2020-05-18;4
with_mirrors;2020-05-19;16
without_mirrors;2020-05-19;6
with_mirrors;2020-05-20;20
without_mirrors;2020-05-20;15
without_mirrors;2020-05-21;4
with_mirrors;2020-05-21;14
without_mirrors;2020-05-22;8
with_mirrors;2020-05-22;12
without_mirrors;2020-05-23;10
with_mirrors;2020-05-23;18
with_mirrors;2020-05-24;14
without_mirrors;2020-05-24;6
without_mirrors;2020-05-25;3
with_mirrors;2020-05-25;11
with_mirrors;2020-05-26;7
without_mirrors;2020-05-26;5
without_mirrors;2020-05-27;3
with_mirrors;2020-05-27;7
with_mirrors;2020-05-28;9
without_mirrors;2020-05-28;1
without_mirrors;2020-05-29;4
with_mirrors;2020-05-29;12
with_mirrors;2020-05-30;4
with_mirrors;2020-05-31;2
with_mirrors;2020-06-01;7
without_mirrors;2020-06-01;3
with_mirrors;2020-06-02;2
without_mirrors;2020-06-03;6
with_mirrors;2020-06-03;10
without_mirrors;2020-06-04;3
with_mirrors;2020-06-04;15
with_mirrors;2020-06-05;8
without_mirrors;2020-06-05;2
without_mirrors;2020-06-06;1
with_mirrors;2020-06-06;7
with_mirrors;2020-06-07;6
without_mirrors;2020-06-07;2
with_mirrors;2020-06-08;12
without_mirrors;2020-06-08;4
without_mirrors;2020-06-09;6
with_mirrors;2020-06-09;13
with_mirrors;2020-06-10;3
without_mirrors;2020-06-10;3
with_mirrors;2020-06-11;4
without_mirrors;2020-06-11;2
without_mirrors;2020-06-12;1
with_mirrors;2020-06-12;3
with_mirrors;2020-06-13;4
with_mirrors;2020-06-14;4
with_mirrors;2020-06-15;2
without_mirrors;2020-06-15;2
without_mirrors;2020-06-16;5
with_mirrors;2020-06-16;7
with_mirrors;2020-06-17;11
without_mirrors;2020-06-17;1
with_mirrors;2020-06-18;6
without_mirrors;2020-06-18;4
with_mirrors;2020-06-19;7
without_mirrors;2020-06-19;1
without_mirrors;2020-06-20;1
with_mirrors;2020-06-20;3
without_mirrors;2020-06-22;2
with_mirrors;2020-06-22;5
without_mirrors;2020-06-23;5
with_mirrors;2020-06-23;8
without_mirrors;2020-06-24;2
with_mirrors;2020-06-24;12
with_mirrors;2020-06-25;7
without_mirrors;2020-06-25;5
without_mirrors;2020-06-26;3
with_mirrors;2020-06-26;13
without_mirrors;2020-06-27;1
with_mirrors;2020-06-27;5
with_mirrors;2020-06-28;2
with_mirrors;2020-06-29;5
without_mirrors;2020-06-29;1
without_mirrors;2020-06-30;1
with_mirrors;2020-06-30;6
with_mirrors;2020-07-01;8
without_mirrors;2020-07-01;4
with_mirrors;2020-07-02;4
without_mirrors;2020-07-02;3
without_mirrors;2020-07-03;2
with_mirrors;2020-07-03;18
without_mirrors;2020-07-04;1
with_mirrors;2020-07-04;3
without_mirrors;2020-07-05;1
with_mirrors;2020-07-05;1
with_mirrors;2020-07-06;5
without_mirrors;2020-07-06;2
with_mirrors;2020-07-07;124
without_mirrors;2020-07-07;20
with_mirrors;2020-07-08;241
without_mirrors;2020-07-08;25
without_mirrors;2020-07-09;10
with_mirrors;2020-07-09;119
with_mirrors;2020-07-10;63
without_mirrors;2020-07-10;7
with_mirrors;2020-07-11;42
without_mirrors;2020-07-11;4
with_mirrors;2020-07-12;55
without_mirrors;2020-07-12;5
with_mirrors;2020-07-13;22
without_mirrors;2020-07-13;9
with_mirrors;2020-07-14;59
without_mirrors;2020-07-14;8
with_mirrors;2020-07-15;20
without_mirrors;2020-07-15;5
with_mirrors;2020-07-16;15
without_mirrors;2020-07-16;5
with_mirrors;2020-07-17;19
without_mirrors;2020-07-17;3
with_mirrors;2020-07-18;18
without_mirrors;2020-07-18;2
with_mirrors;2020-07-19;31
without_mirrors;2020-07-19;3
without_mirrors;2020-07-20;2
with_mirrors;2020-07-20;12
with_mirrors;2020-07-21;19
without_mirrors;2020-07-21;12
with_mirrors;2020-07-22;39
without_mirrors;2020-07-22;25
with_mirrors;2020-07-23;17
without_mirrors;2020-07-23;10
with_mirrors;2020-07-24;24
without_mirrors;2020-07-24;12
without_mirrors;2020-07-25;6
with_mirrors;2020-07-25;21
without_mirrors;2020-07-26;7
with_mirrors;2020-07-26;17
with_mirrors;2020-07-27;10
without_mirrors;2020-07-27;4
without_mirrors;2020-07-28;4
with_mirrors;2020-07-28;36
without_mirrors;2020-07-29;5
with_mirrors;2020-07-29;16
without_mirrors;2020-07-30;5
with_mirrors;2020-07-30;15
with_mirrors;2020-07-31;110
without_mirrors;2020-07-31;23
without_mirrors;2020-08-01;13
with_mirrors;2020-08-01;114
without_mirrors;2020-08-02;5
with_mirrors;2020-08-02;78
with_mirrors;2020-08-03;47
without_mirrors;2020-08-03;10
without_mirrors;2020-08-04;2
with_mirrors;2020-08-04;28
without_mirrors;2020-08-05;7
with_mirrors;2020-08-05;8
with_mirrors;2020-08-06;186
without_mirrors;2020-08-06;37
without_mirrors;2020-08-07;29
with_mirrors;2020-08-07;225
without_mirrors;2020-08-08;2
with_mirrors;2020-08-08;72
with_mirrors;2020-08-09;41
without_mirrors;2020-08-09;5
with_mirrors;2020-08-10;35
without_mirrors;2020-08-10;12
without_mirrors;2020-08-11;7
with_mirrors;2020-08-11;38
with_mirrors;2020-08-12;50
without_mirrors;2020-08-12;14
with_mirrors;2020-08-13;48
without_mirrors;2020-08-13;7
with_mirrors;2020-08-14;25
without_mirrors;2020-08-14;5
with_mirrors;2020-08-15;45
with_mirrors;2020-08-16;7
without_mirrors;2020-08-16;1
without_mirrors;2020-08-17;6
with_mirrors;2020-08-17;15
without_mirrors;2020-08-18;5
with_mirrors;2020-08-18;29
with_mirrors;2020-08-19;25
without_mirrors;2020-08-19;3
with_mirrors;2020-08-20;23
without_mirrors;2020-08-20;7
without_mirrors;2020-08-21;11
with_mirrors;2020-08-21;11
with_mirrors;2020-08-22;79
without_mirrors;2020-08-22;3
with_mirrors;2020-08-23;41
without_mirrors;2020-08-23;7
without_mirrors;2020-08-24;3
with_mirrors;2020-08-24;31
with_mirrors;2020-08-25;32
without_mirrors;2020-08-25;6
with_mirrors;2020-08-26;12
without_mirrors;2020-08-26;5
with_mirrors;2020-08-27;12
without_mirrors;2020-08-27;3
without_mirrors;2020-08-28;2
with_mirrors;2020-08-28;52
without_mirrors;2020-08-29;4
with_mirrors;2020-08-29;20
with_mirrors;2020-08-30;63
without_mirrors;2020-08-30;3
without_mirrors;2020-08-31;9
with_mirrors;2020-08-31;31
with_mirrors;2020-09-01;70
without_mirrors;2020-09-01;5
without_mirrors;2020-09-02;9
with_mirrors;2020-09-02;15
