category;date;downloads
with_mirrors;2020-05-01;53
without_mirrors;2020-05-01;9
with_mirrors;2020-05-02;63
without_mirrors;2020-05-02;11
without_mirrors;2020-05-03;6
with_mirrors;2020-05-03;40
without_mirrors;2020-05-04;8
with_mirrors;2020-05-04;38
with_mirrors;2020-05-05;24
without_mirrors;2020-05-06;4
with_mirrors;2020-05-06;62
with_mirrors;2020-05-07;17
with_mirrors;2020-05-08;59
with_mirrors;2020-05-09;44
with_mirrors;2020-05-10;62
with_mirrors;2020-05-11;7
without_mirrors;2020-05-11;1
without_mirrors;2020-05-12;26
with_mirrors;2020-05-12;184
without_mirrors;2020-05-13;31
with_mirrors;2020-05-13;228
with_mirrors;2020-05-14;63
without_mirrors;2020-05-14;6
without_mirrors;2020-05-15;49
with_mirrors;2020-05-15;105
without_mirrors;2020-05-16;21
with_mirrors;2020-05-16;167
without_mirrors;2020-05-17;16
with_mirrors;2020-05-17;94
without_mirrors;2020-05-18;25
with_mirrors;2020-05-18;51
with_mirrors;2020-05-19;57
without_mirrors;2020-05-19;18
with_mirrors;2020-05-20;62
without_mirrors;2020-05-20;4
with_mirrors;2020-05-21;90
without_mirrors;2020-05-21;22
with_mirrors;2020-05-22;52
without_mirrors;2020-05-23;4
with_mirrors;2020-05-23;75
with_mirrors;2020-05-24;74
with_mirrors;2020-05-25;68
without_mirrors;2020-05-26;15
with_mirrors;2020-05-26;25
with_mirrors;2020-05-27;40
with_mirrors;2020-05-28;63
without_mirrors;2020-05-28;1
without_mirrors;2020-05-29;2
with_mirrors;2020-05-29;44
with_mirrors;2020-05-30;32
with_mirrors;2020-05-31;44
without_mirrors;2020-05-31;22
with_mirrors;2020-06-01;26
with_mirrors;2020-06-02;20
without_mirrors;2020-06-03;2
with_mirrors;2020-06-03;62
with_mirrors;2020-06-04;60
without_mirrors;2020-06-05;1
with_mirrors;2020-06-05;72
with_mirrors;2020-06-06;28
with_mirrors;2020-06-07;81
with_mirrors;2020-06-08;40
without_mirrors;2020-06-09;3
with_mirrors;2020-06-09;21
with_mirrors;2020-06-10;21
without_mirrors;2020-06-10;1
without_mirrors;2020-06-11;4
with_mirrors;2020-06-11;24
with_mirrors;2020-06-12;64
without_mirrors;2020-06-12;4
with_mirrors;2020-06-13;22
without_mirrors;2020-06-13;1
with_mirrors;2020-06-14;3
without_mirrors;2020-06-14;1
with_mirrors;2020-06-15;16
without_mirrors;2020-06-15;8
without_mirrors;2020-06-16;23
with_mirrors;2020-06-16;73
without_mirrors;2020-06-17;3
with_mirrors;2020-06-17;60
with_mirrors;2020-06-18;174
without_mirrors;2020-06-18;49
with_mirrors;2020-06-19;167
without_mirrors;2020-06-19;10
without_mirrors;2020-06-20;1
with_mirrors;2020-06-20;51
with_mirrors;2020-06-21;42
without_mirrors;2020-06-21;6
without_mirrors;2020-06-22;12
with_mirrors;2020-06-22;36
without_mirrors;2020-06-23;5
with_mirrors;2020-06-23;33
without_mirrors;2020-06-24;3
with_mirrors;2020-06-24;80
without_mirrors;2020-06-25;1
with_mirrors;2020-06-25;5
with_mirrors;2020-06-26;187
without_mirrors;2020-06-26;24
with_mirrors;2020-06-27;127
without_mirrors;2020-06-27;23
with_mirrors;2020-06-28;66
without_mirrors;2020-06-28;4
without_mirrors;2020-06-29;10
with_mirrors;2020-06-29;78
without_mirrors;2020-06-30;4
with_mirrors;2020-06-30;88
with_mirrors;2020-07-01;49
without_mirrors;2020-07-01;1
without_mirrors;2020-07-02;5
with_mirrors;2020-07-02;65
without_mirrors;2020-07-03;7
with_mirrors;2020-07-03;46
without_mirrors;2020-07-04;3
with_mirrors;2020-07-04;75
with_mirrors;2020-07-05;4
without_mirrors;2020-07-05;2
with_mirrors;2020-07-06;25
without_mirrors;2020-07-06;5
with_mirrors;2020-07-07;22
without_mirrors;2020-07-08;6
with_mirrors;2020-07-08;65
without_mirrors;2020-07-09;5
with_mirrors;2020-07-09;44
with_mirrors;2020-07-10;10
without_mirrors;2020-07-10;6
without_mirrors;2020-07-11;3
with_mirrors;2020-07-11;39
with_mirrors;2020-07-12;51
without_mirrors;2020-07-12;7
without_mirrors;2020-07-13;5
with_mirrors;2020-07-13;17
without_mirrors;2020-07-14;32
with_mirrors;2020-07-14;201
with_mirrors;2020-07-15;203
without_mirrors;2020-07-15;18
with_mirrors;2020-07-16;33
without_mirrors;2020-07-16;8
without_mirrors;2020-07-17;7
with_mirrors;2020-07-17;83
without_mirrors;2020-07-18;2
with_mirrors;2020-07-18;65
without_mirrors;2020-07-19;4
with_mirrors;2020-07-19;71
with_mirrors;2020-07-20;62
without_mirrors;2020-07-20;12
without_mirrors;2020-07-21;16
with_mirrors;2020-07-21;58
without_mirrors;2020-07-22;33
with_mirrors;2020-07-22;45
without_mirrors;2020-07-23;10
with_mirrors;2020-07-23;55
with_mirrors;2020-07-24;18
without_mirrors;2020-07-24;10
with_mirrors;2020-07-25;91
without_mirrors;2020-07-25;6
with_mirrors;2020-07-26;40
without_mirrors;2020-07-26;8
with_mirrors;2020-07-27;23
without_mirrors;2020-07-27;5
with_mirrors;2020-07-28;69
without_mirrors;2020-07-28;5
with_mirrors;2020-07-29;68
without_mirrors;2020-07-29;7
with_mirrors;2020-07-30;48
without_mirrors;2020-07-30;3
without_mirrors;2020-07-31;3
with_mirrors;2020-07-31;33
without_mirrors;2020-08-01;2
with_mirrors;2020-08-01;95
with_mirrors;2020-08-02;89
without_mirrors;2020-08-02;2
with_mirrors;2020-08-03;54
without_mirrors;2020-08-03;12
with_mirrors;2020-08-04;40
without_mirrors;2020-08-04;5
with_mirrors;2020-08-05;4
without_mirrors;2020-08-05;4
without_mirrors;2020-08-06;18
with_mirrors;2020-08-06;95
with_mirrors;2020-08-07;46
without_mirrors;2020-08-07;4
without_mirrors;2020-08-08;5
with_mirrors;2020-08-08;11
