category;date;downloads
with_mirrors;2021-09-14;89
without_mirrors;2021-09-14;11
with_mirrors;2021-09-15;34
without_mirrors;2021-09-15;8
with_mirrors;2021-09-16;42
without_mirrors;2021-09-16;6
without_mirrors;2021-09-17;6
with_mirrors;2021-09-17;42
without_mirrors;2021-09-18;8
with_mirrors;2021-09-18;8
with_mirrors;2021-09-19;21
without_mirrors;2021-09-19;3
with_mirrors;2021-09-20;44
without_mirrors;2021-09-20;32
without_mirrors;2021-09-21;11
with_mirrors;2021-09-21;11
with_mirrors;2021-09-22;16
without_mirrors;2021-09-22;8
with_mirrors;2021-09-23;37
without_mirrors;2021-09-23;13
without_mirrors;2021-09-24;9
with_mirrors;2021-09-24;21
without_mirrors;2021-09-25;5
with_mirrors;2021-09-25;29
with_mirrors;2021-09-26;26
without_mirrors;2021-09-26;14
with_mirrors;2021-09-27;13
without_mirrors;2021-09-27;10
with_mirrors;2021-09-28;58
without_mirrors;2021-09-28;10
without_mirrors;2021-09-29;7
with_mirrors;2021-09-29;7
with_mirrors;2021-09-30;39
without_mirrors;2021-09-30;13
without_mirrors;2021-10-01;14
with_mirrors;2021-10-01;22
with_mirrors;2021-10-02;8
without_mirrors;2021-10-02;8
without_mirrors;2021-10-03;9
with_mirrors;2021-10-03;19
without_mirrors;2021-10-04;14
with_mirrors;2021-10-04;28
without_mirrors;2021-10-05;5
with_mirrors;2021-10-05;6
with_mirrors;2021-10-06;22
without_mirrors;2021-10-06;22
without_mirrors;2021-10-07;15
with_mirrors;2021-10-07;15
without_mirrors;2021-10-08;4
with_mirrors;2021-10-08;12
with_mirrors;2021-10-09;6
without_mirrors;2021-10-09;6
with_mirrors;2021-10-10;7
without_mirrors;2021-10-10;7
with_mirrors;2021-10-11;15
without_mirrors;2021-10-11;3
without_mirrors;2021-10-12;6
with_mirrors;2021-10-12;18
with_mirrors;2021-10-13;16
without_mirrors;2021-10-13;3
with_mirrors;2021-10-14;53
without_mirrors;2021-10-14;14
with_mirrors;2021-10-15;39
without_mirrors;2021-10-15;4
without_mirrors;2021-10-16;8
with_mirrors;2021-10-16;32
with_mirrors;2021-10-17;198
without_mirrors;2021-10-17;46
with_mirrors;2021-10-18;250
without_mirrors;2021-10-18;44
with_mirrors;2021-10-19;52
without_mirrors;2021-10-19;7
with_mirrors;2021-10-20;70
without_mirrors;2021-10-20;14
without_mirrors;2021-10-21;7
with_mirrors;2021-10-21;16
without_mirrors;2021-10-22;17
with_mirrors;2021-10-22;22
without_mirrors;2021-10-23;7
with_mirrors;2021-10-23;31
without_mirrors;2021-10-24;4
with_mirrors;2021-10-24;16
with_mirrors;2021-10-25;13
without_mirrors;2021-10-25;3
without_mirrors;2021-10-26;17
with_mirrors;2021-10-26;25
with_mirrors;2021-10-27;67
without_mirrors;2021-10-27;27
without_mirrors;2021-10-28;9
with_mirrors;2021-10-28;25
with_mirrors;2021-10-29;20
without_mirrors;2021-10-29;16
with_mirrors;2021-10-30;42
without_mirrors;2021-10-30;10
without_mirrors;2021-10-31;6
with_mirrors;2021-10-31;12
with_mirrors;2021-11-01;55
without_mirrors;2021-11-01;12
without_mirrors;2021-11-02;25
with_mirrors;2021-11-02;76
with_mirrors;2021-11-03;30
without_mirrors;2021-11-03;10
with_mirrors;2021-11-04;23
without_mirrors;2021-11-04;13
without_mirrors;2021-11-05;18
with_mirrors;2021-11-05;22
without_mirrors;2021-11-06;15
with_mirrors;2021-11-06;31
without_mirrors;2021-11-07;8
with_mirrors;2021-11-07;28
with_mirrors;2021-11-08;34
without_mirrors;2021-11-08;14
without_mirrors;2021-11-09;19
with_mirrors;2021-11-09;64
with_mirrors;2021-11-10;10
without_mirrors;2021-11-10;6
without_mirrors;2021-11-11;10
with_mirrors;2021-11-11;22
with_mirrors;2021-11-12;38
without_mirrors;2021-11-12;16
without_mirrors;2021-11-13;6
with_mirrors;2021-11-13;40
without_mirrors;2021-11-14;5
with_mirrors;2021-11-14;11
without_mirrors;2021-11-15;50
with_mirrors;2021-11-15;61
with_mirrors;2021-11-16;17
without_mirrors;2021-11-16;10
with_mirrors;2021-11-17;49
without_mirrors;2021-11-17;17
without_mirrors;2021-11-18;13
with_mirrors;2021-11-18;41
without_mirrors;2021-11-19;18
with_mirrors;2021-11-19;60
without_mirrors;2021-11-20;14
with_mirrors;2021-11-20;34
with_mirrors;2021-11-21;58
without_mirrors;2021-11-21;4
without_mirrors;2021-11-22;30
with_mirrors;2021-11-22;60
with_mirrors;2021-11-23;40
without_mirrors;2021-11-23;7
without_mirrors;2021-11-24;14
with_mirrors;2021-11-24;40
without_mirrors;2021-11-25;32
with_mirrors;2021-11-25;73
without_mirrors;2021-11-26;27
with_mirrors;2021-11-26;31
without_mirrors;2021-11-27;29
with_mirrors;2021-11-27;37
without_mirrors;2021-11-28;12
with_mirrors;2021-11-28;52
with_mirrors;2021-11-29;69
without_mirrors;2021-11-29;18
with_mirrors;2021-11-30;175
without_mirrors;2021-11-30;43
with_mirrors;2021-12-01;143
without_mirrors;2021-12-01;51
without_mirrors;2021-12-02;28
with_mirrors;2021-12-02;109
without_mirrors;2021-12-03;31
with_mirrors;2021-12-03;48
without_mirrors;2021-12-04;47
with_mirrors;2021-12-04;53
with_mirrors;2021-12-05;60
without_mirrors;2021-12-05;22
with_mirrors;2021-12-06;75
without_mirrors;2021-12-06;43
without_mirrors;2021-12-07;45
with_mirrors;2021-12-07;51
with_mirrors;2021-12-08;81
without_mirrors;2021-12-08;27
with_mirrors;2021-12-09;71
without_mirrors;2021-12-09;13
with_mirrors;2021-12-10;83
without_mirrors;2021-12-10;14
without_mirrors;2021-12-11;17
with_mirrors;2021-12-11;19
with_mirrors;2021-12-12;26
without_mirrors;2021-12-12;4
without_mirrors;2021-12-13;17
with_mirrors;2021-12-13;46
without_mirrors;2021-12-14;27
with_mirrors;2021-12-14;83
without_mirrors;2021-12-15;40
with_mirrors;2021-12-15;58
without_mirrors;2021-12-16;20
with_mirrors;2021-12-16;29
without_mirrors;2021-12-17;19
with_mirrors;2021-12-17;111
with_mirrors;2021-12-18;53
without_mirrors;2021-12-18;13
with_mirrors;2021-12-19;28
without_mirrors;2021-12-19;8
without_mirrors;2021-12-20;24
with_mirrors;2021-12-20;26
without_mirrors;2021-12-21;31
with_mirrors;2021-12-21;45
without_mirrors;2021-12-22;14
with_mirrors;2021-12-22;64
with_mirrors;2021-12-23;51
without_mirrors;2021-12-23;15
with_mirrors;2021-12-24;74
without_mirrors;2021-12-24;10
with_mirrors;2021-12-25;38
without_mirrors;2021-12-25;14
with_mirrors;2021-12-26;4
without_mirrors;2021-12-26;4
with_mirrors;2021-12-27;32
without_mirrors;2021-12-27;32
with_mirrors;2021-12-28;26
without_mirrors;2021-12-28;20
without_mirrors;2021-12-29;13
with_mirrors;2021-12-29;31
with_mirrors;2021-12-30;35
without_mirrors;2021-12-30;23
with_mirrors;2021-12-31;70
without_mirrors;2021-12-31;14
with_mirrors;2022-01-01;18
without_mirrors;2022-01-01;4
without_mirrors;2022-01-02;9
with_mirrors;2022-01-02;27
with_mirrors;2022-01-03;79
without_mirrors;2022-01-03;56
without_mirrors;2022-01-04;18
with_mirrors;2022-01-04;54
without_mirrors;2022-01-05;18
with_mirrors;2022-01-05;74
without_mirrors;2022-01-06;6
with_mirrors;2022-01-06;12
with_mirrors;2022-01-07;85
without_mirrors;2022-01-07;49
with_mirrors;2022-01-08;25
without_mirrors;2022-01-08;7
without_mirrors;2022-01-09;8
with_mirrors;2022-01-09;24
with_mirrors;2022-01-10;47
without_mirrors;2022-01-10;29
without_mirrors;2022-01-11;48
with_mirrors;2022-01-11;94
without_mirrors;2022-01-12;30
with_mirrors;2022-01-12;106
without_mirrors;2022-01-13;25
with_mirrors;2022-01-13;27
with_mirrors;2022-01-14;68
without_mirrors;2022-01-14;44
with_mirrors;2022-01-15;36
without_mirrors;2022-01-15;36
without_mirrors;2022-01-16;16
with_mirrors;2022-01-16;26
without_mirrors;2022-01-17;61
with_mirrors;2022-01-17;82
with_mirrors;2022-01-18;95
without_mirrors;2022-01-18;41
with_mirrors;2022-01-19;27
without_mirrors;2022-01-19;26
without_mirrors;2022-01-20;41
with_mirrors;2022-01-20;51
with_mirrors;2022-01-21;84
without_mirrors;2022-01-21;26
with_mirrors;2022-01-22;57
without_mirrors;2022-01-22;21
without_mirrors;2022-01-23;9
with_mirrors;2022-01-23;9
without_mirrors;2022-01-24;68
with_mirrors;2022-01-24;69
with_mirrors;2022-01-25;87
without_mirrors;2022-01-25;45
without_mirrors;2022-01-26;50
with_mirrors;2022-01-26;68
without_mirrors;2022-01-27;32
with_mirrors;2022-01-27;68
with_mirrors;2022-01-28;31
without_mirrors;2022-01-28;31
with_mirrors;2022-01-29;44
without_mirrors;2022-01-29;44
without_mirrors;2022-01-30;2
with_mirrors;2022-01-30;17
without_mirrors;2022-01-31;46
with_mirrors;2022-01-31;70
without_mirrors;2022-02-01;78
with_mirrors;2022-02-01;114
with_mirrors;2022-02-02;85
without_mirrors;2022-02-02;53
without_mirrors;2022-02-03;54
with_mirrors;2022-02-03;96
with_mirrors;2022-02-04;191
without_mirrors;2022-02-04;179
without_mirrors;2022-02-05;168
with_mirrors;2022-02-05;228
with_mirrors;2022-02-06;34
without_mirrors;2022-02-06;16
with_mirrors;2022-02-07;55
without_mirrors;2022-02-07;55
without_mirrors;2022-02-08;74
with_mirrors;2022-02-08;79
with_mirrors;2022-02-09;132
without_mirrors;2022-02-09;48
with_mirrors;2022-02-10;62
without_mirrors;2022-02-10;38
without_mirrors;2022-02-11;24
with_mirrors;2022-02-11;80
with_mirrors;2022-02-12;41
without_mirrors;2022-02-12;5
without_mirrors;2022-02-13;29
with_mirrors;2022-02-13;51
with_mirrors;2022-02-14;36
without_mirrors;2022-02-14;31
with_mirrors;2022-02-15;69
