category;date;downloads
with_mirrors;2021-09-14;8
with_mirrors;2021-09-15;11
without_mirrors;2021-09-15;1
with_mirrors;2021-09-16;21
without_mirrors;2021-09-16;1
with_mirrors;2021-09-18;4
with_mirrors;2021-09-19;8
with_mirrors;2021-09-20;20
without_mirrors;2021-09-20;8
without_mirrors;2021-09-22;1
with_mirrors;2021-09-22;1
with_mirrors;2021-09-23;8
with_mirrors;2021-09-25;4
with_mirrors;2021-09-26;4
without_mirrors;2021-09-27;1
with_mirrors;2021-09-27;8
with_mirrors;2021-09-28;4
with_mirrors;2021-09-29;8
without_mirrors;2021-10-01;1
with_mirrors;2021-10-01;13
with_mirrors;2021-10-03;8
with_mirrors;2021-10-05;5
without_mirrors;2021-10-07;3
with_mirrors;2021-10-07;3
with_mirrors;2021-10-08;2
with_mirrors;2021-10-09;4
with_mirrors;2021-10-11;4
without_mirrors;2021-10-12;1
with_mirrors;2021-10-12;1
without_mirrors;2021-10-14;1
with_mirrors;2021-10-14;5
with_mirrors;2021-10-15;2
with_mirrors;2021-10-16;14
with_mirrors;2021-10-17;12
without_mirrors;2021-10-19;1
with_mirrors;2021-10-19;9
without_mirrors;2021-10-21;1
with_mirrors;2021-10-21;6
with_mirrors;2021-10-22;8
with_mirrors;2021-10-23;4
with_mirrors;2021-10-24;4
with_mirrors;2021-10-25;2
without_mirrors;2021-10-26;1
with_mirrors;2021-10-26;3
without_mirrors;2021-10-27;5
with_mirrors;2021-10-27;5
with_mirrors;2021-10-28;9
without_mirrors;2021-10-28;1
with_mirrors;2021-10-29;4
without_mirrors;2021-10-30;2
with_mirrors;2021-10-30;2
without_mirrors;2021-11-01;1
with_mirrors;2021-11-01;5
without_mirrors;2021-11-02;1
with_mirrors;2021-11-02;5
with_mirrors;2021-11-03;4
with_mirrors;2021-11-04;6
without_mirrors;2021-11-04;2
with_mirrors;2021-11-05;4
without_mirrors;2021-11-06;1
with_mirrors;2021-11-06;1
with_mirrors;2021-11-08;8
with_mirrors;2021-11-09;1
without_mirrors;2021-11-09;1
without_mirrors;2021-11-10;1
with_mirrors;2021-11-10;1
without_mirrors;2021-11-11;1
with_mirrors;2021-11-11;5
with_mirrors;2021-11-12;4
with_mirrors;2021-11-14;8
with_mirrors;2021-11-15;13
without_mirrors;2021-11-15;5
with_mirrors;2021-11-16;3
without_mirrors;2021-11-16;1
with_mirrors;2021-11-17;5
without_mirrors;2021-11-17;1
with_mirrors;2021-11-18;6
with_mirrors;2021-11-19;9
without_mirrors;2021-11-19;1
without_mirrors;2021-11-20;1
with_mirrors;2021-11-20;5
with_mirrors;2021-11-22;12
with_mirrors;2021-11-23;9
without_mirrors;2021-11-23;4
with_mirrors;2021-11-24;8
with_mirrors;2021-11-25;7
without_mirrors;2021-11-26;2
with_mirrors;2021-11-26;2
with_mirrors;2021-11-27;9
with_mirrors;2021-11-28;4
without_mirrors;2021-11-29;1
with_mirrors;2021-11-29;7
with_mirrors;2021-11-30;6
without_mirrors;2021-11-30;2
without_mirrors;2021-12-01;1
with_mirrors;2021-12-01;13
without_mirrors;2021-12-02;3
with_mirrors;2021-12-02;7
with_mirrors;2021-12-03;4
with_mirrors;2021-12-05;12
with_mirrors;2021-12-06;2
without_mirrors;2021-12-06;2
with_mirrors;2021-12-08;4
with_mirrors;2021-12-09;6
with_mirrors;2021-12-10;12
with_mirrors;2021-12-11;3
without_mirrors;2021-12-11;3
with_mirrors;2021-12-13;8
with_mirrors;2021-12-15;12
with_mirrors;2021-12-16;7
without_mirrors;2021-12-16;1
with_mirrors;2021-12-17;9
without_mirrors;2021-12-17;1
with_mirrors;2021-12-18;12
with_mirrors;2021-12-19;4
with_mirrors;2021-12-21;4
with_mirrors;2021-12-22;4
with_mirrors;2021-12-23;4
with_mirrors;2021-12-24;16
with_mirrors;2021-12-25;1
without_mirrors;2021-12-25;1
without_mirrors;2021-12-26;1
with_mirrors;2021-12-26;1
without_mirrors;2021-12-27;1
with_mirrors;2021-12-27;5
without_mirrors;2021-12-29;1
with_mirrors;2021-12-29;1
without_mirrors;2021-12-30;1
with_mirrors;2021-12-30;1
with_mirrors;2021-12-31;4
with_mirrors;2022-01-01;7
without_mirrors;2022-01-01;1
with_mirrors;2022-01-02;8
without_mirrors;2022-01-03;8
with_mirrors;2022-01-03;22
