category;date;downloads
with_mirrors;2021-09-14;6
with_mirrors;2021-09-15;54
with_mirrors;2021-09-16;32
with_mirrors;2021-09-19;27
without_mirrors;2021-09-19;1
with_mirrors;2021-09-20;58
with_mirrors;2021-09-21;114
without_mirrors;2021-09-21;54
with_mirrors;2021-09-22;52
with_mirrors;2021-09-23;52
with_mirrors;2021-09-25;34
with_mirrors;2021-09-26;26
with_mirrors;2021-09-27;3
with_mirrors;2021-09-28;52
with_mirrors;2021-09-29;26
with_mirrors;2021-09-30;25
with_mirrors;2021-10-01;7
without_mirrors;2021-10-01;1
with_mirrors;2021-10-02;26
with_mirrors;2021-10-03;26
with_mirrors;2021-10-04;10
with_mirrors;2021-10-05;27
with_mirrors;2021-10-06;26
without_mirrors;2021-10-07;1
with_mirrors;2021-10-07;1
with_mirrors;2021-10-09;8
with_mirrors;2021-10-11;26
with_mirrors;2021-10-13;6
with_mirrors;2021-10-15;28
with_mirrors;2021-10-16;22
with_mirrors;2021-10-17;61
without_mirrors;2021-10-17;1
with_mirrors;2021-10-18;26
without_mirrors;2021-10-19;1
with_mirrors;2021-10-19;27
with_mirrors;2021-10-20;26
without_mirrors;2021-10-21;1
with_mirrors;2021-10-21;28
without_mirrors;2021-10-22;1
with_mirrors;2021-10-22;27
with_mirrors;2021-10-25;54
with_mirrors;2021-10-26;2
with_mirrors;2021-10-27;26
without_mirrors;2021-10-27;26
without_mirrors;2021-10-28;2
with_mirrors;2021-10-28;34
without_mirrors;2021-10-30;2
with_mirrors;2021-10-30;28
without_mirrors;2021-11-01;1
with_mirrors;2021-11-01;8
without_mirrors;2021-11-02;5
with_mirrors;2021-11-02;11
with_mirrors;2021-11-03;26
with_mirrors;2021-11-04;27
without_mirrors;2021-11-04;1
with_mirrors;2021-11-05;8
without_mirrors;2021-11-05;2
with_mirrors;2021-11-06;1
without_mirrors;2021-11-06;1
with_mirrors;2021-11-08;30
with_mirrors;2021-11-10;2
with_mirrors;2021-11-11;6
with_mirrors;2021-11-12;6
with_mirrors;2021-11-14;26
with_mirrors;2021-11-15;10
without_mirrors;2021-11-15;2
with_mirrors;2021-11-16;28
without_mirrors;2021-11-16;26
with_mirrors;2021-11-17;54
without_mirrors;2021-11-18;2
with_mirrors;2021-11-18;30
without_mirrors;2021-11-19;1
with_mirrors;2021-11-19;7
with_mirrors;2021-11-20;53
with_mirrors;2021-11-22;37
without_mirrors;2021-11-22;1
with_mirrors;2021-11-23;6
without_mirrors;2021-11-24;4
with_mirrors;2021-11-24;48
with_mirrors;2021-11-25;6
with_mirrors;2021-11-27;49
with_mirrors;2021-11-28;6
with_mirrors;2021-11-29;36
without_mirrors;2021-11-29;2
with_mirrors;2021-11-30;20
without_mirrors;2021-11-30;2
with_mirrors;2021-12-01;54
without_mirrors;2021-12-01;2
with_mirrors;2021-12-02;26
without_mirrors;2021-12-03;87
with_mirrors;2021-12-03;192
with_mirrors;2021-12-04;84
without_mirrors;2021-12-04;10
with_mirrors;2021-12-05;23
without_mirrors;2021-12-05;1
without_mirrors;2021-12-06;5
with_mirrors;2021-12-06;79
without_mirrors;2021-12-07;3
with_mirrors;2021-12-07;94
with_mirrors;2021-12-08;36
without_mirrors;2021-12-08;2
with_mirrors;2021-12-09;32
without_mirrors;2021-12-09;2
with_mirrors;2021-12-10;62
without_mirrors;2021-12-10;5
with_mirrors;2021-12-11;30
with_mirrors;2021-12-12;9
without_mirrors;2021-12-12;1
with_mirrors;2021-12-13;11
without_mirrors;2021-12-13;3
with_mirrors;2021-12-14;7
without_mirrors;2021-12-14;3
with_mirrors;2021-12-15;3
without_mirrors;2021-12-15;1
without_mirrors;2021-12-16;1
with_mirrors;2021-12-16;99
with_mirrors;2021-12-17;3
without_mirrors;2021-12-17;1
with_mirrors;2021-12-18;168
without_mirrors;2021-12-19;5
with_mirrors;2021-12-19;35
with_mirrors;2021-12-20;32
without_mirrors;2021-12-21;2
with_mirrors;2021-12-21;4
without_mirrors;2021-12-22;2
with_mirrors;2021-12-22;22
with_mirrors;2021-12-23;56
with_mirrors;2021-12-24;90
with_mirrors;2021-12-25;10
without_mirrors;2021-12-27;3
with_mirrors;2021-12-27;5
without_mirrors;2021-12-28;2
with_mirrors;2021-12-28;2
without_mirrors;2021-12-30;1
with_mirrors;2021-12-30;1
with_mirrors;2021-12-31;8
without_mirrors;2021-12-31;2
with_mirrors;2022-01-01;31
without_mirrors;2022-01-01;1
with_mirrors;2022-01-02;30
without_mirrors;2022-01-02;2
with_mirrors;2022-01-03;86
with_mirrors;2022-01-04;32
without_mirrors;2022-01-04;2
with_mirrors;2022-01-05;2
with_mirrors;2022-01-06;62
with_mirrors;2022-01-07;4
with_mirrors;2022-01-08;57
without_mirrors;2022-01-09;8
with_mirrors;2022-01-09;8
with_mirrors;2022-01-10;2
without_mirrors;2022-01-11;38
with_mirrors;2022-01-11;68
with_mirrors;2022-01-12;62
without_mirrors;2022-01-12;2
without_mirrors;2022-01-13;2
with_mirrors;2022-01-13;36
with_mirrors;2022-01-14;42
without_mirrors;2022-01-15;1
with_mirrors;2022-01-15;3
with_mirrors;2022-01-16;40
with_mirrors;2022-01-17;20
without_mirrors;2022-01-17;16
with_mirrors;2022-01-19;84
with_mirrors;2022-01-20;33
with_mirrors;2022-01-21;49
without_mirrors;2022-01-21;6
with_mirrors;2022-01-22;48
with_mirrors;2022-01-23;2
with_mirrors;2022-01-24;58
with_mirrors;2022-01-25;2
with_mirrors;2022-01-26;2
without_mirrors;2022-01-26;2
without_mirrors;2022-01-27;1
with_mirrors;2022-01-27;1
without_mirrors;2022-01-28;1
with_mirrors;2022-01-28;37
with_mirrors;2022-01-29;7
without_mirrors;2022-01-29;5
with_mirrors;2022-01-30;28
with_mirrors;2022-02-01;9
without_mirrors;2022-02-01;1
with_mirrors;2022-02-02;28
with_mirrors;2022-02-03;58
