category;date;downloads
with_mirrors;2021-09-14;80
without_mirrors;2021-09-14;2
with_mirrors;2021-09-15;81
without_mirrors;2021-09-15;1
without_mirrors;2021-09-16;2
with_mirrors;2021-09-16;54
without_mirrors;2021-09-17;1
with_mirrors;2021-09-17;71
with_mirrors;2021-09-18;81
without_mirrors;2021-09-18;29
with_mirrors;2021-09-19;11
without_mirrors;2021-09-19;5
with_mirrors;2021-09-20;30
without_mirrors;2021-09-20;4
with_mirrors;2021-09-21;28
without_mirrors;2021-09-21;2
without_mirrors;2021-09-22;2
with_mirrors;2021-09-22;10
with_mirrors;2021-09-23;54
without_mirrors;2021-09-23;28
with_mirrors;2021-09-25;52
with_mirrors;2021-09-26;26
with_mirrors;2021-09-27;82
without_mirrors;2021-09-27;1
with_mirrors;2021-09-28;106
without_mirrors;2021-09-28;2
without_mirrors;2021-09-29;4
with_mirrors;2021-09-29;56
without_mirrors;2021-09-30;1
with_mirrors;2021-09-30;13
with_mirrors;2021-10-01;35
without_mirrors;2021-10-01;3
without_mirrors;2021-10-02;1
with_mirrors;2021-10-02;1
with_mirrors;2021-10-03;11
without_mirrors;2021-10-03;1
without_mirrors;2021-10-04;3
with_mirrors;2021-10-04;33
with_mirrors;2021-10-05;1
without_mirrors;2021-10-06;2
with_mirrors;2021-10-06;3
with_mirrors;2021-10-07;9
without_mirrors;2021-10-07;7
without_mirrors;2021-10-08;1
with_mirrors;2021-10-08;9
without_mirrors;2021-10-09;3
with_mirrors;2021-10-09;3
without_mirrors;2021-10-10;4
with_mirrors;2021-10-10;4
without_mirrors;2021-10-11;2
with_mirrors;2021-10-11;28
without_mirrors;2021-10-12;1
with_mirrors;2021-10-12;1
with_mirrors;2021-10-14;29
without_mirrors;2021-10-14;1
with_mirrors;2021-10-15;103
without_mirrors;2021-10-15;1
without_mirrors;2021-10-16;2
with_mirrors;2021-10-16;80
with_mirrors;2021-10-17;26
without_mirrors;2021-10-18;2
with_mirrors;2021-10-18;28
without_mirrors;2021-10-19;2
with_mirrors;2021-10-19;2
without_mirrors;2021-10-20;3
with_mirrors;2021-10-20;55
without_mirrors;2021-10-21;6
with_mirrors;2021-10-21;32
with_mirrors;2021-10-22;2
without_mirrors;2021-10-22;2
with_mirrors;2021-10-23;38
without_mirrors;2021-10-23;12
with_mirrors;2021-10-24;1
without_mirrors;2021-10-24;1
without_mirrors;2021-10-25;2
with_mirrors;2021-10-25;4
with_mirrors;2021-10-26;4
without_mirrors;2021-10-26;2
with_mirrors;2021-10-27;62
without_mirrors;2021-10-27;30
without_mirrors;2021-10-28;10
with_mirrors;2021-10-28;62
with_mirrors;2021-10-29;3
without_mirrors;2021-10-29;3
with_mirrors;2021-10-30;5
without_mirrors;2021-10-30;1
with_mirrors;2021-10-31;6
with_mirrors;2021-11-01;2
without_mirrors;2021-11-01;1
with_mirrors;2021-11-02;60
without_mirrors;2021-11-02;2
without_mirrors;2021-11-03;2
with_mirrors;2021-11-03;10
with_mirrors;2021-11-04;15
without_mirrors;2021-11-04;8
with_mirrors;2021-11-05;3
without_mirrors;2021-11-05;3
without_mirrors;2021-11-07;3
with_mirrors;2021-11-07;33
without_mirrors;2021-11-08;1
with_mirrors;2021-11-08;1
without_mirrors;2021-11-09;13
with_mirrors;2021-11-09;26
without_mirrors;2021-11-10;3
with_mirrors;2021-11-10;3
with_mirrors;2021-11-11;16
without_mirrors;2021-11-11;4
without_mirrors;2021-11-12;4
with_mirrors;2021-11-12;4
with_mirrors;2021-11-13;53
without_mirrors;2021-11-13;1
with_mirrors;2021-11-14;7
with_mirrors;2021-11-15;31
without_mirrors;2021-11-15;27
with_mirrors;2021-11-16;2
without_mirrors;2021-11-17;2
with_mirrors;2021-11-17;54
without_mirrors;2021-11-18;2
with_mirrors;2021-11-18;4
with_mirrors;2021-11-19;97
without_mirrors;2021-11-19;5
without_mirrors;2021-11-20;1
with_mirrors;2021-11-20;27
without_mirrors;2021-11-21;2
with_mirrors;2021-11-21;30
with_mirrors;2021-11-22;91
without_mirrors;2021-11-22;1
with_mirrors;2021-11-23;35
without_mirrors;2021-11-23;18
with_mirrors;2021-11-24;1
without_mirrors;2021-11-24;1
with_mirrors;2021-11-25;6
without_mirrors;2021-11-25;1
with_mirrors;2021-11-26;26
with_mirrors;2021-11-27;2
without_mirrors;2021-11-27;2
with_mirrors;2021-11-28;20
without_mirrors;2021-11-28;14
with_mirrors;2021-11-29;58
without_mirrors;2021-11-29;7
with_mirrors;2021-11-30;186
without_mirrors;2021-11-30;36
without_mirrors;2021-12-01;19
with_mirrors;2021-12-01;151
with_mirrors;2021-12-02;36
without_mirrors;2021-12-02;6
with_mirrors;2021-12-03;107
without_mirrors;2021-12-03;6
with_mirrors;2021-12-04;65
without_mirrors;2021-12-04;59
with_mirrors;2021-12-05;3
without_mirrors;2021-12-05;1
with_mirrors;2021-12-06;12
without_mirrors;2021-12-06;6
with_mirrors;2021-12-07;31
without_mirrors;2021-12-07;2
without_mirrors;2021-12-08;1
with_mirrors;2021-12-08;59
without_mirrors;2021-12-09;4
with_mirrors;2021-12-09;36
with_mirrors;2021-12-10;155
without_mirrors;2021-12-10;4
with_mirrors;2021-12-11;6
without_mirrors;2021-12-11;2
with_mirrors;2021-12-12;7
without_mirrors;2021-12-12;3
without_mirrors;2021-12-13;3
