category;date;downloads
without_mirrors;2021-09-14;1
with_mirrors;2021-09-14;7
without_mirrors;2021-09-15;1
with_mirrors;2021-09-15;43
with_mirrors;2021-09-16;47
without_mirrors;2021-09-16;1
with_mirrors;2021-09-18;2
without_mirrors;2021-09-18;2
without_mirrors;2021-09-19;42
with_mirrors;2021-09-19;62
with_mirrors;2021-09-20;73
with_mirrors;2021-09-21;40
with_mirrors;2021-09-23;40
with_mirrors;2021-09-25;28
with_mirrors;2021-09-26;20
with_mirrors;2021-09-27;4
without_mirrors;2021-09-27;1
with_mirrors;2021-09-28;42
without_mirrors;2021-09-28;2
with_mirrors;2021-09-29;23
without_mirrors;2021-09-29;3
without_mirrors;2021-09-30;1
with_mirrors;2021-09-30;41
without_mirrors;2021-10-01;2
with_mirrors;2021-10-01;8
with_mirrors;2021-10-02;40
with_mirrors;2021-10-04;58
with_mirrors;2021-10-05;1
with_mirrors;2021-10-06;22
without_mirrors;2021-10-06;2
without_mirrors;2021-10-07;6
with_mirrors;2021-10-07;6
with_mirrors;2021-10-09;11
without_mirrors;2021-10-09;3
with_mirrors;2021-10-10;14
without_mirrors;2021-10-10;14
without_mirrors;2021-10-11;1
with_mirrors;2021-10-11;21
without_mirrors;2021-10-13;2
with_mirrors;2021-10-13;2
without_mirrors;2021-10-14;1
with_mirrors;2021-10-14;21
without_mirrors;2021-10-15;2
with_mirrors;2021-10-15;4
with_mirrors;2021-10-16;22
without_mirrors;2021-10-16;2
with_mirrors;2021-10-17;42
with_mirrors;2021-10-18;21
without_mirrors;2021-10-18;1
with_mirrors;2021-10-19;2
without_mirrors;2021-10-19;1
with_mirrors;2021-10-20;22
without_mirrors;2021-10-20;2
with_mirrors;2021-10-21;26
without_mirrors;2021-10-21;6
with_mirrors;2021-10-22;22
without_mirrors;2021-10-22;2
without_mirrors;2021-10-23;1
with_mirrors;2021-10-23;1
with_mirrors;2021-10-24;40
without_mirrors;2021-10-25;1
with_mirrors;2021-10-25;23
with_mirrors;2021-10-26;2
with_mirrors;2021-10-27;23
without_mirrors;2021-10-27;21
with_mirrors;2021-10-28;35
without_mirrors;2021-10-28;9
with_mirrors;2021-10-29;21
without_mirrors;2021-10-29;1
without_mirrors;2021-10-30;1
with_mirrors;2021-10-30;1
without_mirrors;2021-10-31;1
with_mirrors;2021-10-31;7
without_mirrors;2021-11-01;1
with_mirrors;2021-11-01;8
with_mirrors;2021-11-02;27
without_mirrors;2021-11-02;1
without_mirrors;2021-11-03;2
with_mirrors;2021-11-03;2
with_mirrors;2021-11-04;38
without_mirrors;2021-11-04;5
without_mirrors;2021-11-05;2
with_mirrors;2021-11-05;8
with_mirrors;2021-11-07;3
without_mirrors;2021-11-07;3
with_mirrors;2021-11-08;24
with_mirrors;2021-11-09;3
without_mirrors;2021-11-09;3
without_mirrors;2021-11-10;3
with_mirrors;2021-11-10;15
without_mirrors;2021-11-11;3
with_mirrors;2021-11-11;9
with_mirrors;2021-11-12;7
without_mirrors;2021-11-12;1
without_mirrors;2021-11-13;1
with_mirrors;2021-11-13;1
with_mirrors;2021-11-14;21
without_mirrors;2021-11-14;1
without_mirrors;2021-11-15;1
with_mirrors;2021-11-15;11
with_mirrors;2021-11-16;41
without_mirrors;2021-11-16;21
with_mirrors;2021-11-17;22
with_mirrors;2021-11-18;23
without_mirrors;2021-11-18;1
without_mirrors;2021-11-19;2
with_mirrors;2021-11-19;8
with_mirrors;2021-11-20;40
with_mirrors;2021-11-21;1
without_mirrors;2021-11-21;1
with_mirrors;2021-11-22;30
with_mirrors;2021-11-23;8
without_mirrors;2021-11-23;2
without_mirrors;2021-11-24;6
with_mirrors;2021-11-24;40
with_mirrors;2021-11-25;24
without_mirrors;2021-11-25;1
with_mirrors;2021-11-26;14
without_mirrors;2021-11-26;1
with_mirrors;2021-11-27;20
without_mirrors;2021-11-28;1
with_mirrors;2021-11-28;7
without_mirrors;2021-11-29;4
with_mirrors;2021-11-29;32
with_mirrors;2021-11-30;106
without_mirrors;2021-11-30;28
without_mirrors;2021-12-01;21
with_mirrors;2021-12-01;160
with_mirrors;2021-12-02;50
without_mirrors;2021-12-02;2
without_mirrors;2021-12-03;50
with_mirrors;2021-12-03;65
with_mirrors;2021-12-04;3
without_mirrors;2021-12-04;3
without_mirrors;2021-12-05;2
with_mirrors;2021-12-05;6
without_mirrors;2021-12-06;5
with_mirrors;2021-12-06;120
with_mirrors;2021-12-07;1
without_mirrors;2021-12-07;1
with_mirrors;2021-12-08;33
without_mirrors;2021-12-08;1
with_mirrors;2021-12-09;28
without_mirrors;2021-12-09;2
without_mirrors;2021-12-10;4
with_mirrors;2021-12-10;52
with_mirrors;2021-12-11;22
with_mirrors;2021-12-12;9
without_mirrors;2021-12-12;1
without_mirrors;2021-12-13;2
with_mirrors;2021-12-13;9
with_mirrors;2021-12-14;2
without_mirrors;2021-12-15;2
with_mirrors;2021-12-15;48
without_mirrors;2021-12-16;3
with_mirrors;2021-12-16;36
without_mirrors;2021-12-17;8
with_mirrors;2021-12-17;76
with_mirrors;2021-12-18;68
without_mirrors;2021-12-18;2
without_mirrors;2021-12-19;9
with_mirrors;2021-12-19;35
without_mirrors;2021-12-20;6
with_mirrors;2021-12-20;32
with_mirrors;2021-12-21;47
without_mirrors;2021-12-21;25
without_mirrors;2021-12-22;1
with_mirrors;2021-12-22;21
without_mirrors;2021-12-23;8
with_mirrors;2021-12-23;36
without_mirrors;2021-12-24;5
with_mirrors;2021-12-24;87
with_mirrors;2021-12-26;1
without_mirrors;2021-12-26;1
without_mirrors;2021-12-27;3
with_mirrors;2021-12-27;5
with_mirrors;2021-12-28;2
without_mirrors;2021-12-28;2
with_mirrors;2021-12-30;2
without_mirrors;2021-12-30;2
with_mirrors;2021-12-31;11
without_mirrors;2021-12-31;3
with_mirrors;2022-01-01;48
without_mirrors;2022-01-01;1
with_mirrors;2022-01-02;23
without_mirrors;2022-01-03;1
with_mirrors;2022-01-03;47
with_mirrors;2022-01-04;49
without_mirrors;2022-01-04;2
with_mirrors;2022-01-05;53
with_mirrors;2022-01-06;29
without_mirrors;2022-01-06;1
with_mirrors;2022-01-07;25
without_mirrors;2022-01-07;23
with_mirrors;2022-01-08;45
with_mirrors;2022-01-10;24
without_mirrors;2022-01-10;22
with_mirrors;2022-01-11;27
with_mirrors;2022-01-12;70
with_mirrors;2022-01-13;30
without_mirrors;2022-01-13;24
with_mirrors;2022-01-14;23
without_mirrors;2022-01-15;4
with_mirrors;2022-01-15;8
with_mirrors;2022-01-16;39
without_mirrors;2022-01-16;3
with_mirrors;2022-01-17;5
without_mirrors;2022-01-17;3
with_mirrors;2022-01-18;4
without_mirrors;2022-01-18;3
with_mirrors;2022-01-19;68
without_mirrors;2022-01-20;3
with_mirrors;2022-01-20;27
without_mirrors;2022-01-21;22
with_mirrors;2022-01-21;64
with_mirrors;2022-01-22;43
