category;date;downloads
without_mirrors;2022-02-24;44
with_mirrors;2022-02-24;151
without_mirrors;2022-02-25;13
with_mirrors;2022-02-25;65
without_mirrors;2022-02-26;5
with_mirrors;2022-02-26;25
without_mirrors;2022-02-27;3
with_mirrors;2022-02-27;11
with_mirrors;2022-02-28;12
without_mirrors;2022-02-28;2
with_mirrors;2022-03-01;14
without_mirrors;2022-03-01;6
without_mirrors;2022-03-02;2
with_mirrors;2022-03-02;21
without_mirrors;2022-03-03;2
with_mirrors;2022-03-03;26
with_mirrors;2022-03-04;30
without_mirrors;2022-03-04;3
with_mirrors;2022-03-05;21
with_mirrors;2022-03-06;13
without_mirrors;2022-03-06;3
with_mirrors;2022-03-07;10
without_mirrors;2022-03-08;2
with_mirrors;2022-03-08;8
with_mirrors;2022-03-09;6
without_mirrors;2022-03-09;2
without_mirrors;2022-03-10;5
with_mirrors;2022-03-10;15
with_mirrors;2022-03-11;9
with_mirrors;2022-03-12;2
without_mirrors;2022-03-13;2
with_mirrors;2022-03-13;7
with_mirrors;2022-03-17;12
with_mirrors;2022-03-18;13
without_mirrors;2022-03-18;5
without_mirrors;2022-03-19;2
with_mirrors;2022-03-19;14
without_mirrors;2022-03-20;4
with_mirrors;2022-03-20;14
without_mirrors;2022-03-21;4
with_mirrors;2022-03-21;12
with_mirrors;2022-03-22;7
with_mirrors;2022-03-23;7
without_mirrors;2022-03-23;1
with_mirrors;2022-03-24;8
without_mirrors;2022-03-24;2
with_mirrors;2022-03-25;128
without_mirrors;2022-03-25;40
with_mirrors;2022-03-26;79
without_mirrors;2022-03-26;14
with_mirrors;2022-03-27;38
without_mirrors;2022-03-27;2
with_mirrors;2022-03-28;18
with_mirrors;2022-03-29;10
with_mirrors;2022-03-30;16
without_mirrors;2022-03-31;4
with_mirrors;2022-03-31;24
without_mirrors;2022-04-01;1
with_mirrors;2022-04-01;20
with_mirrors;2022-04-02;20
with_mirrors;2022-04-04;14
with_mirrors;2022-04-05;17
