category;date;downloads
without_mirrors;2021-09-14;30
with_mirrors;2021-09-14;58
without_mirrors;2021-09-15;34
with_mirrors;2021-09-15;186
without_mirrors;2021-09-16;24
with_mirrors;2021-09-16;86
without_mirrors;2021-09-17;15
with_mirrors;2021-09-17;45
without_mirrors;2021-09-18;16
with_mirrors;2021-09-18;44
with_mirrors;2021-09-19;79
without_mirrors;2021-09-19;23
with_mirrors;2021-09-20;147
without_mirrors;2021-09-20;73
without_mirrors;2021-09-21;22
with_mirrors;2021-09-21;22
without_mirrors;2021-09-22;17
with_mirrors;2021-09-22;25
without_mirrors;2021-09-23;22
with_mirrors;2021-09-23;84
without_mirrors;2021-09-24;18
with_mirrors;2021-09-24;24
without_mirrors;2021-09-25;6
with_mirrors;2021-09-25;14
with_mirrors;2021-09-26;30
without_mirrors;2021-09-26;2
with_mirrors;2021-09-27;56
without_mirrors;2021-09-27;19
without_mirrors;2021-09-28;9
with_mirrors;2021-09-28;43
without_mirrors;2021-09-29;23
with_mirrors;2021-09-29;107
without_mirrors;2021-09-30;15
with_mirrors;2021-09-30;41
with_mirrors;2021-10-01;75
without_mirrors;2021-10-01;13
without_mirrors;2021-10-02;9
with_mirrors;2021-10-02;23
without_mirrors;2021-10-03;9
with_mirrors;2021-10-03;63
with_mirrors;2021-10-04;72
without_mirrors;2021-10-04;24
with_mirrors;2021-10-05;52
without_mirrors;2021-10-05;23
with_mirrors;2021-10-06;26
without_mirrors;2021-10-06;20
with_mirrors;2021-10-07;46
without_mirrors;2021-10-07;30
with_mirrors;2021-10-08;16
without_mirrors;2021-10-08;14
with_mirrors;2021-10-09;14
without_mirrors;2021-10-09;8
without_mirrors;2021-10-10;3
with_mirrors;2021-10-10;25
with_mirrors;2021-10-11;50
without_mirrors;2021-10-11;21
without_mirrors;2021-10-12;18
with_mirrors;2021-10-12;20
without_mirrors;2021-10-13;26
with_mirrors;2021-10-13;32
with_mirrors;2021-10-14;50
without_mirrors;2021-10-14;22
without_mirrors;2021-10-15;23
with_mirrors;2021-10-15;25
without_mirrors;2021-10-16;10
with_mirrors;2021-10-16;97
with_mirrors;2021-10-17;90
