category;date;downloads
with_mirrors;2021-09-14;6
with_mirrors;2021-09-15;6
with_mirrors;2021-09-16;8
with_mirrors;2021-09-18;2
without_mirrors;2021-09-19;4
with_mirrors;2021-09-19;10
with_mirrors;2021-09-20;4
with_mirrors;2021-09-22;1
without_mirrors;2021-09-22;1
with_mirrors;2021-09-23;4
without_mirrors;2021-09-24;1
with_mirrors;2021-09-24;1
with_mirrors;2021-09-25;4
with_mirrors;2021-09-27;7
with_mirrors;2021-09-28;2
with_mirrors;2021-09-29;4
with_mirrors;2021-09-30;2
without_mirrors;2021-10-01;1
with_mirrors;2021-10-01;5
without_mirrors;2021-10-03;1
with_mirrors;2021-10-03;5
with_mirrors;2021-10-05;3
without_mirrors;2021-10-06;2
with_mirrors;2021-10-06;2
with_mirrors;2021-10-08;4
with_mirrors;2021-10-10;1
without_mirrors;2021-10-10;1
with_mirrors;2021-10-11;2
without_mirrors;2021-10-14;1
with_mirrors;2021-10-14;1
with_mirrors;2021-10-15;2
with_mirrors;2021-10-16;8
with_mirrors;2021-10-17;5
without_mirrors;2021-10-17;1
without_mirrors;2021-10-19;1
with_mirrors;2021-10-19;5
with_mirrors;2021-10-21;4
without_mirrors;2021-10-21;1
without_mirrors;2021-10-22;1
with_mirrors;2021-10-22;5
with_mirrors;2021-10-24;3
without_mirrors;2021-10-24;1
with_mirrors;2021-10-25;1
with_mirrors;2021-10-26;2
with_mirrors;2021-10-27;3
without_mirrors;2021-10-27;3
with_mirrors;2021-10-28;5
without_mirrors;2021-10-28;1
with_mirrors;2021-10-29;2
without_mirrors;2021-10-30;1
with_mirrors;2021-10-30;3
without_mirrors;2021-11-01;1
with_mirrors;2021-11-01;3
without_mirrors;2021-11-02;1
with_mirrors;2021-11-02;3
without_mirrors;2021-11-03;1
with_mirrors;2021-11-03;1
with_mirrors;2021-11-04;3
without_mirrors;2021-11-04;1
with_mirrors;2021-11-05;2
without_mirrors;2021-11-06;2
with_mirrors;2021-11-06;4
with_mirrors;2021-11-08;4
with_mirrors;2021-11-11;2
with_mirrors;2021-11-12;2
with_mirrors;2021-11-14;5
without_mirrors;2021-11-14;1
with_mirrors;2021-11-15;9
without_mirrors;2021-11-15;3
without_mirrors;2021-11-16;1
with_mirrors;2021-11-16;3
with_mirrors;2021-11-17;4
without_mirrors;2021-11-18;1
with_mirrors;2021-11-18;3
with_mirrors;2021-11-19;5
without_mirrors;2021-11-19;1
with_mirrors;2021-11-20;2
with_mirrors;2021-11-22;6
without_mirrors;2021-11-23;2
with_mirrors;2021-11-23;4
with_mirrors;2021-11-24;6
with_mirrors;2021-11-25;1
without_mirrors;2021-11-25;1
with_mirrors;2021-11-26;2
with_mirrors;2021-11-27;2
with_mirrors;2021-11-28;2
with_mirrors;2021-11-29;7
without_mirrors;2021-11-29;1
without_mirrors;2021-11-30;2
with_mirrors;2021-11-30;4
without_mirrors;2021-12-01;1
with_mirrors;2021-12-01;7
with_mirrors;2021-12-02;2
with_mirrors;2021-12-03;2
with_mirrors;2021-12-04;3
with_mirrors;2021-12-05;5
without_mirrors;2021-12-05;1
with_mirrors;2021-12-07;2
with_mirrors;2021-12-08;2
with_mirrors;2021-12-09;4
with_mirrors;2021-12-10;8
with_mirrors;2021-12-13;4
with_mirrors;2021-12-15;6
without_mirrors;2021-12-16;1
with_mirrors;2021-12-16;4
with_mirrors;2021-12-17;5
without_mirrors;2021-12-17;1
with_mirrors;2021-12-18;4
with_mirrors;2021-12-19;2
with_mirrors;2021-12-20;4
with_mirrors;2021-12-22;2
with_mirrors;2021-12-23;2
with_mirrors;2021-12-24;8
with_mirrors;2021-12-25;2
without_mirrors;2021-12-26;2
with_mirrors;2021-12-26;2
with_mirrors;2021-12-30;1
without_mirrors;2021-12-30;1
with_mirrors;2021-12-31;2
without_mirrors;2022-01-01;1
with_mirrors;2022-01-01;9
without_mirrors;2022-01-02;8
with_mirrors;2022-01-02;10
with_mirrors;2022-01-03;8
with_mirrors;2022-01-05;9
without_mirrors;2022-01-06;1
with_mirrors;2022-01-06;2
with_mirrors;2022-01-07;2
with_mirrors;2022-01-08;4
without_mirrors;2022-01-08;2
with_mirrors;2022-01-11;7
without_mirrors;2022-01-11;1
with_mirrors;2022-01-12;4
with_mirrors;2022-01-13;4
with_mirrors;2022-01-15;4
with_mirrors;2022-01-16;3
with_mirrors;2022-01-18;2
with_mirrors;2022-01-19;6
with_mirrors;2022-01-20;2
with_mirrors;2022-01-21;3
without_mirrors;2022-01-21;3
with_mirrors;2022-01-22;2
with_mirrors;2022-01-23;4
with_mirrors;2022-01-25;2
with_mirrors;2022-01-27;2
with_mirrors;2022-01-28;4
with_mirrors;2022-02-01;5
without_mirrors;2022-02-01;1
with_mirrors;2022-02-02;2
with_mirrors;2022-02-03;6
with_mirrors;2022-02-04;4
with_mirrors;2022-02-05;2
with_mirrors;2022-02-06;4
with_mirrors;2022-02-09;4
without_mirrors;2022-02-10;1
with_mirrors;2022-02-10;7
with_mirrors;2022-02-13;2
with_mirrors;2022-02-15;2
without_mirrors;2022-02-18;6
with_mirrors;2022-02-18;8
without_mirrors;2022-02-19;2
with_mirrors;2022-02-19;4
without_mirrors;2022-02-20;2
with_mirrors;2022-02-20;6
with_mirrors;2022-02-21;2
with_mirrors;2022-02-22;2
without_mirrors;2022-02-22;2
with_mirrors;2022-02-23;6
without_mirrors;2022-02-23;2
without_mirrors;2022-02-24;3
with_mirrors;2022-02-24;7
with_mirrors;2022-02-25;4
with_mirrors;2022-02-27;4
without_mirrors;2022-02-27;2
with_mirrors;2022-02-28;2
with_mirrors;2022-03-01;6
without_mirrors;2022-03-01;6
without_mirrors;2022-03-02;2
with_mirrors;2022-03-02;2
with_mirrors;2022-03-03;8
without_mirrors;2022-03-03;2
without_mirrors;2022-03-04;1
with_mirrors;2022-03-04;17
with_mirrors;2022-03-05;10
with_mirrors;2022-03-06;11
with_mirrors;2022-03-07;8
without_mirrors;2022-03-07;2
with_mirrors;2022-03-08;6
without_mirrors;2022-03-09;1
with_mirrors;2022-03-09;13
without_mirrors;2022-03-10;4
with_mirrors;2022-03-10;6
with_mirrors;2022-03-11;13
without_mirrors;2022-03-11;1
with_mirrors;2022-03-12;2
with_mirrors;2022-03-13;2
