category;date;downloads
with_mirrors;2021-09-14;12
without_mirrors;2021-09-15;1
with_mirrors;2021-09-15;15
with_mirrors;2021-09-16;27
with_mirrors;2021-09-18;6
with_mirrors;2021-09-19;12
without_mirrors;2021-09-20;12
with_mirrors;2021-09-20;30
with_mirrors;2021-09-23;12
with_mirrors;2021-09-25;6
with_mirrors;2021-09-26;7
without_mirrors;2021-09-26;1
with_mirrors;2021-09-27;9
with_mirrors;2021-09-28;6
with_mirrors;2021-09-29;12
with_mirrors;2021-10-01;19
without_mirrors;2021-10-01;1
with_mirrors;2021-10-03;12
with_mirrors;2021-10-05;8
without_mirrors;2021-10-05;1
with_mirrors;2021-10-06;1
without_mirrors;2021-10-06;1
with_mirrors;2021-10-08;2
with_mirrors;2021-10-09;6
with_mirrors;2021-10-11;6
with_mirrors;2021-10-14;6
with_mirrors;2021-10-15;3
without_mirrors;2021-10-15;1
with_mirrors;2021-10-16;23
with_mirrors;2021-10-17;8
without_mirrors;2021-10-19;1
with_mirrors;2021-10-19;13
without_mirrors;2021-10-21;2
with_mirrors;2021-10-21;8
with_mirrors;2021-10-22;6
with_mirrors;2021-10-23;7
without_mirrors;2021-10-23;1
without_mirrors;2021-10-24;1
with_mirrors;2021-10-24;7
with_mirrors;2021-10-25;2
with_mirrors;2021-10-26;2
without_mirrors;2021-10-27;8
with_mirrors;2021-10-27;8
without_mirrors;2021-10-28;1
with_mirrors;2021-10-28;13
with_mirrors;2021-10-29;6
with_mirrors;2021-10-30;1
without_mirrors;2021-10-30;1
with_mirrors;2021-11-01;8
without_mirrors;2021-11-01;1
with_mirrors;2021-11-02;8
without_mirrors;2021-11-02;2
with_mirrors;2021-11-03;6
without_mirrors;2021-11-04;1
with_mirrors;2021-11-04;7
with_mirrors;2021-11-05;6
without_mirrors;2021-11-06;1
with_mirrors;2021-11-06;7
with_mirrors;2021-11-08;10
with_mirrors;2021-11-11;6
with_mirrors;2021-11-12;7
without_mirrors;2021-11-12;1
with_mirrors;2021-11-14;12
with_mirrors;2021-11-15;16
without_mirrors;2021-11-15;6
with_mirrors;2021-11-16;2
without_mirrors;2021-11-17;1
with_mirrors;2021-11-17;7
with_mirrors;2021-11-18;8
with_mirrors;2021-11-19;13
without_mirrors;2021-11-19;1
without_mirrors;2021-11-20;1
with_mirrors;2021-11-20;7
with_mirrors;2021-11-22;18
without_mirrors;2021-11-23;4
with_mirrors;2021-11-23;10
with_mirrors;2021-11-24;12
with_mirrors;2021-11-25;9
with_mirrors;2021-11-27;12
with_mirrors;2021-11-28;6
without_mirrors;2021-11-29;1
with_mirrors;2021-11-29;9
without_mirrors;2021-11-30;3
with_mirrors;2021-11-30;9
without_mirrors;2021-12-01;1
with_mirrors;2021-12-01;19
with_mirrors;2021-12-02;4
with_mirrors;2021-12-04;6
with_mirrors;2021-12-05;22
with_mirrors;2021-12-08;6
without_mirrors;2021-12-09;1
with_mirrors;2021-12-09;9
with_mirrors;2021-12-10;24
with_mirrors;2021-12-13;10
with_mirrors;2021-12-15;18
with_mirrors;2021-12-16;9
without_mirrors;2021-12-17;1
with_mirrors;2021-12-17;13
with_mirrors;2021-12-18;15
without_mirrors;2021-12-18;1
with_mirrors;2021-12-19;6
with_mirrors;2021-12-21;6
with_mirrors;2021-12-22;6
with_mirrors;2021-12-23;6
with_mirrors;2021-12-24;24
with_mirrors;2021-12-27;6
with_mirrors;2021-12-28;1
without_mirrors;2021-12-28;1
without_mirrors;2021-12-30;1
with_mirrors;2021-12-30;1
with_mirrors;2021-12-31;6
without_mirrors;2022-01-01;1
with_mirrors;2022-01-01;9
with_mirrors;2022-01-02;18
with_mirrors;2022-01-03;28
without_mirrors;2022-01-03;8
with_mirrors;2022-01-05;14
without_mirrors;2022-01-06;1
with_mirrors;2022-01-06;7
with_mirrors;2022-01-07;7
without_mirrors;2022-01-08;6
with_mirrors;2022-01-08;12
without_mirrors;2022-01-11;5
with_mirrors;2022-01-11;19
with_mirrors;2022-01-12;12
with_mirrors;2022-01-13;10
with_mirrors;2022-01-15;6
with_mirrors;2022-01-16;11
with_mirrors;2022-01-18;6
